Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2010-10-20,0.0,0.0,0.0,0.0,21.41,0.46,0.0,0.0,16985.0
2010-10-19,20.9,21.6,19.95,20.95,20.95,1.1,17026.0,0.0,19333.0
2010-10-18,21.05,21.25,19.65,19.85,19.85,-1.1,8030.0,0.0,26434.0
2010-10-15,21.19,22.6,20.9,20.95,20.95,-0.6,9215.0,0.0,29636.0
2010-10-14,20.6,22.25,20.55,21.55,21.55,0.9,6686.0,0.0,31045.0
2010-10-13,20.2,20.65,20.0,20.65,20.65,0.0,10006.0,0.0,30790.0
2010-10-12,21.65,22.05,20.4,20.65,20.65,-0.65,7582.0,0.0,33682.0
2010-10-11,21.85,21.85,21.25,21.3,21.3,-0.65,6161.0,0.0,34061.0
2010-10-08,22.95,23.25,21.85,22.0,21.95,-1.0,8643.0,0.0,33835.0
2010-10-07,23.1,23.75,22.9,22.95,22.95,-0.3,6856.0,0.0,35328.0
2010-10-06,23.55,23.9,23.2,23.25,23.25,-0.4,8340.0,0.0,35487.0
2010-10-05,24.7,24.8,23.6,23.65,23.65,-1.5,11337.0,0.0,36737.0
2010-10-04,25.0,25.6,24.75,25.15,25.15,0.4,5263.0,0.0,40209.0
2010-10-01,24.9,25.4,24.75,24.75,24.75,-0.7,5840.0,0.0,40093.0
2010-09-30,24.4,25.75,24.15,25.45,25.45,0.75,9339.0,0.0,42051.0
2010-09-29,24.45,24.9,24.3,24.7,24.7,0.4,8404.0,0.0,46076.0
2010-09-28,24.25,25.15,24.05,24.3,24.3,-0.05,11495.0,0.0,47006.0
2010-09-27,24.2,24.45,23.95,24.35,24.35,0.15,6117.0,0.0,51785.0
2010-09-24,25.05,25.1,24.2,24.25,24.2,-1.6,6343.0,0.0,54347.0
2010-09-23,25.65,26.05,25.03,25.8,25.8,0.85,7101.0,0.0,55329.0
2010-09-22,24.65,25.15,24.18,25.0,24.95,0.5,7699.0,0.0,54761.0
2010-09-21,24.35,24.7,24.05,24.45,24.45,0.1,10599.0,0.0,55511.0
2010-09-20,24.9,25.05,24.3,24.3,24.35,-0.7,8860.0,0.0,56200.0
2010-09-17,25.05,25.6,25.0,25.05,25.05,-0.05,8350.0,0.0,56260.0
2010-09-16,25.35,25.85,25.05,25.05,25.1,-0.1,7200.0,0.0,59933.0
2010-09-15,25.9,26.15,25.15,25.2,25.2,-0.5,8753.0,0.0,62479.0
2010-09-14,25.75,26.0,25.4,25.65,25.7,0.0,9910.0,298.0,63373.0
2010-09-13,26.4,26.45,25.58,25.65,25.7,-1.3,7564.0,0.0,58436.0
2010-09-10,27.25,27.55,26.95,26.95,27.0,-0.55,8087.0,0.0,55458.0
2010-09-09,27.05,27.61,27.0,27.55,27.55,-0.3,7627.0,0.0,52501.0
2010-09-08,28.55,28.55,27.8,27.8,27.85,-0.75,3223.0,0.0,49494.0
2010-09-07,28.2,28.8,28.15,28.6,28.6,0.75,5825.0,0.0,48127.0
2010-09-03,28.35,28.55,27.8,27.8,27.85,-1.3,7405.0,0.0,46778.0
2010-09-02,29.75,29.95,29.05,29.05,29.15,-0.6,4974.0,0.0,43066.0
2010-09-01,30.45,30.8,29.65,29.75,29.75,-1.5,5848.0,0.0,39883.0
2010-08-31,31.85,32.1,31.05,31.2,31.25,-0.5,4755.0,0.0,37315.0
2010-08-30,30.9,31.8,30.55,31.7,31.75,0.85,3683.0,0.0,35418.0
2010-08-27,32.1,33.0,30.8,30.85,30.9,-1.6,4597.0,0.0,33680.0
2010-08-26,32.05,33.0,31.7,32.45,32.5,0.2,8175.0,0.0,31673.0
2010-08-25,33.45,33.65,32.15,32.25,32.3,-0.55,4467.0,0.0,29374.0
