Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2012-02-15,0.0,0.0,0.0,0.0,20.44,0.64,0.0,0.0,22153.0
2012-02-14,19.05,21.45,19.05,19.8,19.8,0.55,31597.0,85.0,34705.0
2012-02-13,20.9,20.9,19.15,19.25,19.25,-2.5,33179.0,363.0,41797.0
2012-02-10,20.7,23.45,20.7,21.75,21.75,1.75,33196.0,138.0,49479.0
2012-02-09,19.2,20.0,18.85,20.0,20.0,0.8,23886.0,253.0,54733.0
2012-02-08,18.45,19.2,18.15,19.2,19.2,0.8,19481.0,36.0,56648.0
2012-02-07,18.25,18.68,18.15,18.4,18.4,0.3,19726.0,672.0,58285.0
2012-02-06,18.25,18.5,18.0,18.1,18.1,0.15,15868.0,680.0,62534.0
2012-02-03,19.2,19.2,17.9,17.95,17.95,-1.2,27983.0,2993.0,64118.0
2012-02-02,20.0,20.05,19.1,19.15,19.15,-0.7,18617.0,1719.0,63788.0
2012-02-01,20.4,20.5,19.75,19.85,19.85,-1.05,18328.0,1635.0,63406.0
2012-01-31,20.45,21.1,20.15,20.9,20.9,0.2,14966.0,178.0,62956.0
2012-01-30,20.75,21.2,20.55,20.7,20.7,0.55,20149.0,502.0,67258.0
2012-01-27,20.4,21.1,20.0,20.15,20.15,-0.4,18614.0,1239.0,68030.0
2012-01-26,20.5,20.95,20.0,20.55,20.55,-0.05,23083.0,2215.0,66805.0
2012-01-25,21.4,21.8,20.45,20.6,20.6,-0.6,34233.0,1474.0,63986.0
2012-01-24,21.65,22.08,21.15,21.2,21.2,-0.1,18079.0,3204.0,71478.0
2012-01-23,21.85,22.1,21.25,21.3,21.3,-0.55,20939.0,2796.0,71106.0
2012-01-20,22.7,22.95,21.8,21.85,21.85,-0.7,17657.0,2298.0,68522.0
2012-01-19,23.1,23.3,22.5,22.55,22.55,-0.65,17653.0,3058.0,67317.0
2012-01-18,23.7,24.4,23.15,23.2,23.2,-0.75,19374.0,1599.0,63659.0
2012-01-17,23.7,24.38,23.24,23.95,23.95,-0.15,34437.0,449.0,59696.0
2012-01-13,23.9,25.1,23.75,24.1,24.1,0.35,24897.0,900.0,43513.0
2012-01-12,23.7,24.85,23.7,23.75,23.75,-0.4,16034.0,0.0,37007.0
2012-01-11,23.95,24.15,23.75,24.15,24.15,0.5,10609.0,2105.0,33950.0
2012-01-10,23.52,23.86,23.25,23.65,23.65,-0.5,19809.0,859.0,32674.0
2012-01-09,24.55,24.55,24.05,24.15,24.15,-0.25,8743.0,202.0,25543.0
2012-01-06,24.9,25.15,24.25,24.4,24.4,-0.5,10714.0,608.0,23827.0
2012-01-05,25.75,26.0,24.75,24.9,24.9,-0.4,9854.0,116.0,22458.0
2012-01-04,25.9,26.45,25.2,25.3,25.3,-0.5,7835.0,529.0,21866.0
2012-01-03,26.18,26.2,25.7,25.8,25.8,-1.35,8118.0,0.0,22629.0
2011-12-30,26.6,27.25,26.5,27.15,27.15,0.6,3510.0,120.0,22234.0
2011-12-29,26.88,27.05,26.5,26.55,26.55,-0.55,4158.0,0.0,21906.0
2011-12-28,26.2,27.3,26.0,27.1,27.1,0.9,5164.0,96.0,21466.0
2011-12-27,26.4,26.5,26.0,26.2,26.2,-0.2,3321.0,212.0,21883.0
2011-12-23,26.0,26.75,25.44,26.4,26.4,0.4,5220.0,91.0,21843.0
2011-12-22,25.85,26.4,25.2,26.0,26.0,0.15,7845.0,20.0,21950.0
2011-12-21,27.75,28.1,25.8,25.85,25.85,-1.8,7609.0,0.0,20911.0
2011-12-20,28.8,28.8,27.65,27.69,27.65,-1.65,3846.0,0.0,19453.0
2011-12-19,29.52,29.63,28.87,29.35,29.3,-0.55,5490.0,0.0,19160.0
2011-12-16,29.59,30.22,29.23,29.85,29.85,-0.35,4680.0,0.0,18184.0
2011-12-15,30.85,30.85,29.88,30.15,30.2,-0.9,2145.0,0.0,17674.0
2011-12-14,30.75,31.65,30.5,31.1,31.1,0.35,5833.0,0.0,17437.0
2011-12-13,30.25,31.31,29.8,30.7,30.75,-0.05,3722.0,0.0,17683.0
2011-12-12,30.68,31.55,30.68,30.75,30.8,0.55,2553.0,0.0,17200.0
2011-12-09,31.1,31.4,30.1,30.2,30.25,-1.5,3057.0,0.0,16879.0
2011-12-08,30.6,31.96,30.11,31.7,31.75,1.15,3082.0,0.0,16928.0
2011-12-07,30.0,31.15,29.98,30.6,30.6,0.4,3957.0,0.0,16959.0
2011-12-06,29.95,30.3,29.78,30.2,30.2,0.1,2161.0,0.0,16527.0
2011-12-05,29.6,30.45,29.4,30.05,30.1,-0.35,2208.0,0.0,16597.0
2011-12-02,29.8,30.52,29.47,30.42,30.45,-0.15,2615.0,0.0,16458.0
2011-12-01,31.2,31.23,30.3,30.6,30.6,-0.7,4109.0,0.0,16591.0
2011-11-30,32.6,32.66,30.65,31.25,31.3,-1.7,3351.0,0.0,16486.0
2011-11-29,33.1,33.71,32.9,32.9,33.0,-0.3,2053.0,0.0,16721.0
2011-11-28,33.36,33.87,32.7,33.28,33.3,-1.75,2429.0,0.0,16788.0
2011-11-25,34.77,35.41,33.93,35.1,35.05,0.6,1968.0,0.0,16734.0
2011-11-23,33.9,34.7,33.75,34.4,34.45,1.05,2367.0,0.0,16531.0
2011-11-22,33.65,34.35,33.35,33.4,33.4,-0.4,3111.0,0.0,16270.0
2011-11-21,34.52,34.8,33.6,33.75,33.8,0.5,3518.0,0.0,16161.0
2011-11-18,33.35,34.05,33.2,33.2,33.3,-0.5,3732.0,0.0,15657.0
2011-11-17,32.8,34.4,32.4,33.75,33.8,1.0,4785.0,0.0,15722.0
2011-11-16,32.25,32.85,31.4,32.75,32.8,1.1,2763.0,0.0,14812.0
2011-11-15,32.13,32.38,31.39,31.7,31.7,0.1,2409.0,0.0,14410.0
2011-11-14,31.63,32.3,31.4,31.55,31.6,0.35,4267.0,0.0,14355.0
2011-11-11,31.48,31.48,30.82,31.25,31.25,-0.8,925.0,0.0,12751.0
2011-11-10,32.16,32.95,31.45,32.05,32.05,-0.9,2885.0,0.0,12599.0
2011-11-09,30.97,33.15,30.9,32.95,32.95,3.45,4249.0,0.0,12462.0
2011-11-08,29.85,30.65,29.35,29.5,29.5,-0.7,2156.0,0.0,11306.0
2011-11-07,30.57,31.15,30.15,30.2,30.2,-0.05,1611.0,0.0,10762.0
2011-11-04,30.42,30.95,29.8,30.25,30.25,0.3,1700.0,0.0,10450.0
2011-11-03,30.48,31.4,29.8,30.0,29.95,-0.8,2358.0,0.0,10246.0
2011-11-02,30.85,31.4,30.55,30.7,30.75,-0.55,1853.0,0.0,9889.0
2011-11-01,30.55,31.77,30.3,31.25,31.3,2.3,4182.0,94.0,10331.0
2011-10-31,27.5,29.0,27.45,29.0,29.0,2.05,2841.0,0.0,10347.0
2011-10-28,27.45,27.6,26.94,26.95,26.95,-0.15,1967.0,0.0,9954.0
2011-10-27,28.39,28.4,27.08,27.1,27.1,-2.8,2520.0,0.0,9745.0
2011-10-26,30.62,31.24,29.8,29.9,29.9,-0.95,1488.0,0.0,9656.0
2011-10-25,29.7,31.1,29.65,30.85,30.85,1.0,1937.0,0.0,9760.0
2011-10-24,30.65,30.95,29.72,29.85,29.85,-0.8,1774.0,0.0,9629.0
2011-10-21,31.29,31.4,30.6,30.65,30.65,-1.25,1167.0,0.0,9205.0
2011-10-20,31.7,32.68,31.53,31.9,31.9,0.0,1858.0,0.0,9122.0
2011-10-19,30.76,32.4,30.31,31.9,31.9,1.1,2281.0,0.0,8928.0
2011-10-18,31.8,32.1,30.19,30.8,30.8,-0.9,2060.0,0.0,8729.0
2011-10-17,30.2,31.75,30.08,31.65,31.7,1.55,2684.0,0.0,8994.0
2011-10-14,30.75,31.05,30.1,30.2,30.15,-1.15,1382.0,0.0,8817.0
2011-10-13,31.35,31.9,31.15,31.23,31.3,-0.05,1128.0,0.0,8990.0
2011-10-12,32.3,32.31,30.95,31.4,31.35,-1.2,1412.0,0.0,8784.0
2011-10-11,32.9,33.15,32.45,32.55,32.55,-0.1,1311.0,0.0,8468.0
2011-10-10,33.5,33.62,32.5,32.7,32.65,-1.55,1210.0,0.0,8258.0
2011-10-07,34.0,34.75,33.35,34.25,34.2,0.2,1494.0,0.0,8149.0
2011-10-06,34.18,34.7,33.8,34.0,34.0,-0.35,936.0,0.0,8071.0
2011-10-05,34.34,35.05,33.88,34.4,34.35,-0.3,2124.0,0.0,8191.0
2011-10-04,36.2,36.85,34.18,34.65,34.65,-0.95,2703.0,0.0,8210.0
2011-10-03,34.95,35.85,34.6,35.5,35.6,0.9,1269.0,0.0,8742.0
2011-09-30,33.9,34.85,33.65,34.65,34.7,1.45,1251.0,0.0,8710.0
2011-09-29,33.37,34.26,32.9,33.25,33.25,-0.4,1292.0,65.0,8601.0
2011-09-28,32.65,33.85,32.5,33.66,33.65,1.0,1360.0,0.0,8727.0
2011-09-27,32.3,32.95,32.1,32.65,32.65,-0.3,1387.0,0.0,8585.0
2011-09-26,32.9,33.85,32.9,33.0,32.95,-0.65,1089.0,0.0,8600.0
2011-09-23,34.2,34.2,33.28,33.6,33.6,0.2,1795.0,0.0,8625.0
2011-09-22,33.37,34.2,32.75,33.35,33.4,1.2,3523.0,0.0,8894.0
2011-09-21,31.55,32.25,31.15,32.25,32.2,0.9,1784.0,0.0,8222.0
2011-09-20,31.05,31.8,30.75,31.29,31.3,-0.2,1177.0,0.0,8158.0
2011-09-19,31.75,32.15,31.25,31.35,31.5,0.6,886.0,0.0,8301.0
2011-09-16,31.2,31.5,30.78,30.9,30.9,-0.15,1075.0,0.0,8226.0
2011-09-15,31.51,31.7,31.0,31.0,31.05,-0.6,579.0,0.0,8076.0
2011-09-14,31.74,32.4,31.45,31.55,31.65,-0.45,842.0,0.0,7975.0
2011-09-13,32.2,32.55,31.95,32.09,32.1,-0.05,1238.0,0.0,8034.0
2011-09-12,32.4,33.15,31.93,32.1,32.15,0.4,1248.0,0.0,8013.0
2011-09-09,30.7,32.21,30.7,31.8,31.75,1.0,961.0,0.0,7783.0
2011-09-08,30.41,30.9,30.13,30.75,30.75,0.45,756.0,0.0,7718.0
2011-09-07,30.4,30.7,30.25,30.25,30.3,-0.7,542.0,0.0,7465.0
2011-09-06,30.5,31.75,30.5,30.95,31.0,0.5,897.0,80.0,7537.0
2011-09-02,30.49,30.8,30.2,30.4,30.5,0.45,1335.0,0.0,7660.0
2011-09-01,29.8,30.2,29.35,30.1,30.05,0.2,1269.0,0.0,7433.0
2011-08-31,30.35,30.45,29.6,29.83,29.85,-0.65,1049.0,0.0,7431.0
2011-08-30,29.86,30.5,29.6,30.5,30.5,0.8,958.0,0.0,7447.0
2011-08-29,29.92,30.1,29.55,29.7,29.7,-0.8,428.0,0.0,7108.0
2011-08-26,31.1,31.55,29.9,30.45,30.5,-0.4,1059.0,0.0,7130.0
2011-08-25,30.15,30.9,29.55,30.86,30.9,0.65,884.0,0.0,6902.0
2011-08-24,30.15,30.3,29.3,30.3,30.25,0.4,1386.0,0.0,6955.0
2011-08-23,29.5,30.1,29.48,29.8,29.85,-0.05,1928.0,0.0,6833.0
2011-08-22,29.05,30.2,28.6,29.85,29.9,0.25,1097.0,0.0,6170.0
2011-08-19,29.75,29.75,28.55,29.65,29.65,0.8,1247.0,0.0,5899.0
2011-08-18,26.97,28.96,26.97,28.85,28.85,2.65,1152.0,0.0,5601.0
2011-08-17,25.9,26.39,25.65,26.15,26.2,0.2,571.0,0.0,5544.0
2011-08-16,26.44,26.65,25.87,25.95,26.0,0.2,817.0,0.0,5502.0
2011-08-15,26.35,26.35,25.8,25.8,25.8,-1.05,1193.0,0.0,5117.0
2011-08-12,27.0,27.1,26.5,26.8,26.85,-0.35,941.0,0.0,5226.0
2011-08-11,29.0,29.0,27.0,27.15,27.2,-0.6,654.0,0.0,4804.0
2011-08-10,26.33,28.0,26.33,27.8,27.8,2.05,1124.0,0.0,4802.0
2011-08-09,27.33,27.6,25.6,25.7,25.75,-1.8,1887.0,0.0,4511.0
2011-08-08,26.54,28.3,26.1,27.5,27.55,1.65,1621.0,0.0,4898.0
2011-08-05,25.1,27.65,24.95,25.95,25.9,0.2,1768.0,0.0,4927.0
2011-08-04,24.35,25.7,24.05,25.6,25.7,1.75,2099.0,0.0,4663.0
2011-08-03,23.84,24.63,23.65,23.95,23.95,-0.15,1822.0,0.0,4567.0
2011-08-02,23.8,24.1,23.2,24.1,24.1,0.75,1218.0,0.0,4394.0
2011-08-01,23.28,23.95,23.1,23.35,23.35,-0.45,814.0,0.0,4531.0
2011-07-29,24.65,24.7,23.7,23.75,23.8,-0.6,2695.0,0.0,4425.0
2011-07-28,24.35,24.4,23.8,24.35,24.4,-0.05,672.0,0.0,4250.0
2011-07-27,23.9,24.5,23.86,24.44,24.45,0.55,989.0,0.0,4192.0
2011-07-26,23.65,24.1,23.65,23.9,23.9,0.1,644.0,0.0,3961.0
2011-07-25,23.6,23.86,23.55,23.75,23.8,0.35,601.0,0.0,3694.0
2011-07-22,23.3,23.6,23.29,23.4,23.45,0.0,581.0,0.0,3567.0
2011-07-21,23.85,23.85,23.4,23.45,23.45,-0.55,828.0,0.0,3417.0
2011-07-20,23.83,24.15,23.83,24.0,24.0,-0.15,367.0,0.0,3234.0
2011-07-19,24.5,24.5,24.08,24.15,24.15,-0.5,266.0,0.0,3098.0
2011-07-18,24.8,25.0,24.63,24.65,24.65,0.25,391.0,0.0,3110.0
2011-07-15,24.63,24.85,24.35,24.42,24.4,-0.35,187.0,0.0,2935.0
2011-07-14,24.42,25.03,24.0,24.75,24.75,0.25,994.0,0.0,2862.0
2011-07-13,24.25,24.5,23.95,24.44,24.5,0.05,232.0,0.0,2345.0
2011-07-12,24.3,24.5,23.8,24.42,24.45,0.4,159.0,0.0,2277.0
2011-07-11,24.05,24.26,23.8,24.0,24.05,0.7,139.0,0.0,2223.0
2011-07-08,23.4,23.55,23.3,23.36,23.35,0.2,541.0,0.0,2353.0
2011-07-07,23.2,23.38,23.05,23.15,23.15,-0.55,837.0,0.0,2154.0
2011-07-06,23.89,23.95,23.65,23.67,23.7,-0.1,100.0,0.0,1643.0
2011-07-05,23.55,23.85,23.53,23.8,23.8,0.1,197.0,0.0,1586.0
2011-07-01,24.4,24.45,23.51,23.65,23.7,-0.9,317.0,0.0,1475.0
2011-06-30,24.77,24.8,24.45,24.63,24.6,-0.45,530.0,0.0,1356.0
2011-06-29,24.9,25.2,24.9,25.03,25.05,-0.3,280.0,0.0,964.0
2011-06-28,25.2,25.37,25.18,25.3,25.35,-0.1,434.0,0.0,775.0
2011-06-27,25.69,25.69,25.15,25.45,25.45,-0.2,185.0,0.0,489.0
2011-06-24,25.2,25.69,25.19,25.69,25.65,0.4,106.0,0.0,413.0
2011-06-23,25.6,25.9,24.94,25.27,25.25,0.1,152.0,0.0,353.0
2011-06-22,24.85,25.28,24.64,25.25,25.15,0.2,159.0,0.0,292.0
2011-06-21,24.75,25.0,24.68,25.0,24.95,0.0,224.0,0.0,194.0
2011-06-20,24.9,25.0,24.9,25.0,24.95,0.0,3.0,0.0,2.0
