Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2011-10-19,0.0,0.0,0.0,0.0,33.15,1.0,0.0,0.0,26773.0
2011-10-18,34.85,35.05,30.65,32.1,32.15,-2.05,23266.0,0.0,30310.0
2011-10-17,30.05,34.3,29.75,34.2,34.2,4.45,23536.0,0.0,36850.0
2011-10-14,31.6,31.65,29.7,29.7,29.75,-2.35,13455.0,102.0,40795.0
2011-10-13,32.45,33.85,31.85,32.1,32.1,-0.15,14229.0,144.0,42484.0
2011-10-12,33.6,33.6,30.95,32.2,32.25,-2.25,24127.0,0.0,42066.0
2011-10-11,35.1,35.5,34.1,34.45,34.5,-0.2,13862.0,22.0,45962.0
2011-10-10,36.55,36.65,34.6,34.7,34.7,-3.25,12310.0,0.0,48922.0
2011-10-07,37.85,39.05,36.46,37.9,37.95,0.1,18221.0,166.0,48581.0
2011-10-06,38.1,39.25,37.45,37.8,37.85,-0.6,13208.0,0.0,48492.0
2011-10-05,40.5,40.8,38.1,38.4,38.45,-2.35,21206.0,0.0,46730.0
2011-10-04,45.85,46.3,40.35,40.8,40.8,-4.25,29810.0,0.0,46352.0
2011-10-03,42.1,45.05,41.15,45.0,45.05,2.9,24292.0,311.0,48012.0
2011-09-30,39.85,42.15,39.45,42.1,42.15,3.55,23070.0,0.0,47681.0
2011-09-29,38.55,40.6,37.45,38.55,38.6,-0.85,20770.0,198.0,50831.0
2011-09-28,36.75,39.45,35.95,39.4,39.45,2.7,17495.0,298.0,50845.0
2011-09-27,36.35,37.17,35.05,36.75,36.75,-0.75,17811.0,106.0,51573.0
2011-09-26,38.4,39.7,37.37,37.5,37.5,-1.6,17352.0,0.0,51041.0
2011-09-23,39.75,39.95,38.0,39.05,39.1,0.55,24862.0,1486.0,51075.0
2011-09-22,37.6,39.75,37.0,38.5,38.55,2.8,39286.0,910.0,52885.0
2011-09-21,33.2,35.75,32.55,35.7,35.75,2.8,22880.0,0.0,52633.0
2011-09-20,32.75,33.3,32.0,32.9,32.95,-0.15,18837.0,0.0,52759.0
2011-09-19,32.81,34.2,32.8,33.1,33.1,1.25,17276.0,0.0,49920.0
2011-09-16,33.1,33.2,31.8,31.8,31.85,-0.7,23001.0,0.0,50031.0
2011-09-15,33.55,34.2,32.5,32.55,32.55,-1.55,12820.0,0.0,39502.0
2011-09-14,34.6,35.95,33.63,34.2,34.1,-1.05,17330.0,1056.0,37815.0
2011-09-13,35.4,36.13,34.9,35.1,35.15,0.1,15538.0,0.0,33766.0
2011-09-12,36.45,37.35,34.83,35.1,35.05,0.5,18817.0,143.0,34502.0
2011-09-09,32.2,35.05,32.0,34.55,34.55,2.4,15472.0,135.0,34598.0
2011-09-08,31.8,32.3,31.16,32.1,32.15,0.75,9103.0,0.0,32456.0
2011-09-07,31.85,32.39,31.35,31.4,31.4,-1.45,8316.0,0.0,31206.0
2011-09-06,33.3,34.68,32.65,32.8,32.85,0.8,11008.0,0.0,30832.0
2011-09-02,31.4,32.4,31.0,32.0,32.05,1.35,11066.0,0.0,30116.0
2011-09-01,30.4,30.8,29.6,30.65,30.7,0.5,14408.0,0.0,30054.0
2011-08-31,30.0,30.75,29.6,30.15,30.2,-0.35,10358.0,80.0,26537.0
2011-08-30,30.05,30.75,29.7,30.55,30.55,0.85,9453.0,238.0,25902.0
2011-08-29,30.5,30.6,29.65,29.7,29.7,-1.3,7777.0,0.0,26026.0
2011-08-26,32.1,32.8,30.5,31.0,31.0,-0.75,15967.0,0.0,25294.0
2011-08-25,31.0,32.75,30.55,31.7,31.75,0.3,15627.0,34.0,25627.0
2011-08-24,31.75,32.39,30.7,31.45,31.45,-0.3,14208.0,111.0,28309.0
2011-08-23,32.0,33.2,31.65,31.7,31.75,-0.9,21013.0,171.0,26605.0
2011-08-22,30.55,32.95,30.1,32.65,32.65,1.05,12298.0,130.0,20678.0
2011-08-19,30.95,32.05,30.03,31.62,31.6,1.4,15029.0,0.0,20115.0
2011-08-18,28.15,30.9,27.85,30.2,30.2,3.4,15001.0,11.0,20602.0
2011-08-17,26.1,26.9,25.7,26.8,26.8,0.55,7492.0,5.0,20812.0
2011-08-16,26.75,27.15,26.0,26.2,26.25,0.3,6643.0,0.0,20346.0
2011-08-15,26.15,26.62,25.75,25.95,25.95,-0.95,4335.0,0.0,20062.0
