Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2016-07-20,12.25,12.4,11.75,11.8,11.62,-0.6,2862.0,0.0,55212.0
2016-07-19,13.08,13.41,12.2,12.2,12.225,-0.85,83242.0,0.0,56774.0
2016-07-18,13.9,13.9,13.0,13.15,13.075,-0.75,91082.0,0.0,77583.0
2016-07-15,14.05,14.4,13.5,13.85,13.825,-0.2,98603.0,0.0,88507.0
2016-07-14,14.2,14.38,13.75,14.05,14.025,-0.15,93381.0,0.0,96799.0
2016-07-13,14.3,14.6,14.0,14.2,14.175,-0.1,100399.0,0.0,106636.0
2016-07-12,14.66,14.85,14.15,14.3,14.275,-0.35,97965.0,375.0,120144.0
2016-07-11,14.65,14.85,14.34,14.65,14.625,-0.15,81691.0,0.0,131803.0
2016-07-08,15.95,16.29,14.65,14.8,14.775,-1.15,109646.0,504.0,132616.0
2016-07-07,16.2,16.9,15.75,15.95,15.925,-0.25,110757.0,0.0,135388.0
2016-07-06,16.85,17.8,16.05,16.15,16.175,-0.65,125488.0,0.0,146746.0
2016-07-05,16.65,17.77,16.4,16.85,16.825,0.05,123483.0,0.0,152186.0
2016-07-01,17.05,17.5,16.45,16.8,16.775,-0.2,102471.0,1155.0,158233.0
2016-06-30,17.55,18.17,16.9,16.98,16.975,-0.5,141663.0,1883.0,159070.0
2016-06-29,19.0,19.15,17.45,17.48,17.475,-1.4,148829.0,1808.0,155985.0
2016-06-28,23.15,23.4,18.85,18.9,18.875,-4.78,229118.0,484.0,164679.0
2016-06-27,23.35,23.7,21.7,23.7,23.65,1.0,244933.0,5682.0,188902.0
2016-06-24,16.65,27.65,16.07,22.7,22.65,5.98,402803.0,0.0,205330.0
2016-06-23,19.45,19.49,16.6,16.7,16.675,-2.75,185317.0,0.0,201733.0
2016-06-22,18.7,19.6,18.1,19.45,19.425,0.75,129875.0,160.0,195010.0
2016-06-21,18.54,18.97,17.85,18.7,18.675,0.2,115870.0,0.0,198740.0
2016-06-20,19.8,19.8,17.9,18.5,18.475,-1.6,152280.0,640.0,208056.0
2016-06-17,20.05,20.34,19.58,20.1,20.075,0.05,123659.0,0.0,219522.0
2016-06-16,20.6,22.2,19.74,20.05,20.025,-0.55,185116.0,1869.0,218623.0
2016-06-15,20.9,21.25,19.6,20.57,20.575,-0.3,168249.0,0.0,227907.0
2016-06-14,21.25,22.05,20.4,20.85,20.875,-0.35,244885.0,1895.0,236160.0
2016-06-13,18.7,21.4,18.65,21.25,21.225,2.8,245396.0,0.0,258905.0
2016-06-10,17.15,18.6,17.1,18.45,18.425,1.25,146694.0,0.0,256778.0
2016-06-09,16.85,17.3,16.8,17.17,17.175,0.3,84338.0,0.0,242132.0
2016-06-08,16.9,17.02,16.6,16.86,16.875,0.0,87786.0,0.0,225707.0
2016-06-07,16.9,16.95,16.45,16.85,16.875,0.0,89455.0,0.0,209810.0
2016-06-06,17.15,17.2,16.75,16.85,16.875,-0.25,81711.0,875.0,189186.0
2016-06-03,17.2,17.8,16.9,17.1,17.125,-0.05,73511.0,0.0,167458.0
2016-06-02,17.53,17.83,17.05,17.15,17.175,-0.35,65409.0,0.0,157124.0
2016-06-01,17.5,17.95,17.37,17.52,17.525,0.05,64136.0,0.0,146280.0
2016-05-31,17.6,18.05,17.35,17.45,17.475,-0.15,79307.0,0.0,137220.0
2016-05-27,17.81,17.95,17.55,17.61,17.625,-0.2,57321.0,0.0,124483.0
2016-05-26,18.05,18.19,17.75,17.8,17.825,-0.2,51121.0,265.0,117280.0
2016-05-25,18.2,18.3,17.65,18.01,18.025,-0.2,75331.0,0.0,104172.0
2016-05-24,19.05,19.14,18.05,18.2,18.225,-0.85,71224.0,0.0,90407.0
2016-05-23,18.9,19.1,18.6,19.05,19.075,0.12,60604.0,0.0,82160.0
2016-05-20,19.31,19.32,18.85,18.95,18.95,-0.38,52594.0,0.0,74104.0
2016-05-19,19.4,20.15,19.3,19.3,19.325,-0.1,67323.0,0.0,69508.0
2016-05-18,19.35,19.62,18.83,19.4,19.425,0.1,77229.0,0.0,64135.0
2016-05-17,18.62,19.55,18.35,19.28,19.325,0.7,42822.0,0.0,56828.0
2016-05-16,19.27,19.38,18.32,18.6,18.625,-0.6,35494.0,0.0,50480.0
2016-05-13,18.8,19.4,18.45,19.21,19.225,0.45,27751.0,0.0,45042.0
2016-05-12,19.13,19.44,18.61,18.8,18.775,-0.4,26889.0,0.0,42633.0
2016-05-11,18.5,19.2,18.29,19.18,19.175,0.7,19613.0,0.0,41428.0
2016-05-10,19.28,19.42,18.4,18.48,18.475,-0.8,23595.0,0.0,38851.0
2016-05-09,19.35,19.53,18.93,19.27,19.275,-0.2,21950.0,0.0,39413.0
2016-05-06,20.0,20.4,19.44,19.47,19.475,-0.5,19583.0,0.0,40708.0
2016-05-05,20.05,20.28,19.6,19.95,19.975,0.0,15112.0,0.0,38276.0
2016-05-04,19.8,20.37,19.77,19.95,19.975,0.15,15905.0,0.0,37658.0
2016-05-03,19.19,20.05,19.15,19.82,19.825,0.65,17966.0,0.0,36992.0
2016-05-02,19.85,20.1,19.15,19.16,19.175,-0.6,16221.0,0.0,37555.0
