Trade Date,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Prev. Day Open Interest
2010-03-17,0.0,0.0,0.0,0.0,16.68,-0.77,0.0,0.0,21350.0
2010-03-16,17.98,18.1,17.25,17.4,17.45,-0.65,5945.0,0.0,24888.0
2010-03-15,18.55,18.7,18.1,18.1,18.1,-0.25,6938.0,0.0,23345.0
2010-03-12,18.36,18.85,18.25,18.35,18.35,-0.25,4851.0,0.0,24647.0
2010-03-11,18.85,19.45,18.6,18.6,18.6,0.0,6788.0,0.0,25065.0
2010-03-10,18.45,18.8,18.2,18.6,18.6,0.1,3971.0,0.0,25331.0
2010-03-09,18.6,18.9,18.25,18.5,18.5,0.15,3430.0,0.0,24244.0
2010-03-08,18.4,18.61,18.15,18.35,18.35,-0.2,5652.0,0.0,23530.0
2010-03-05,19.45,19.55,18.45,18.55,18.55,-1.05,6882.0,0.0,22362.0
2010-03-04,19.6,20.05,19.5,19.6,19.6,0.0,4328.0,0.0,19651.0
2010-03-03,19.6,20.05,19.55,19.6,19.6,-0.2,5653.0,0.0,19261.0
2010-03-02,19.9,20.1,19.7,19.8,19.8,-0.2,7154.0,7.0,18842.0
2010-03-01,20.25,20.35,19.75,20.0,20.0,-0.4,6345.0,0.0,16234.0
2010-02-26,21.0,21.3,20.35,20.35,20.4,-0.55,5430.0,0.0,20130.0
2010-02-25,22.1,22.55,20.9,20.95,20.95,-0.15,4766.0,0.0,20920.0
2010-02-24,21.6,21.65,21.05,21.1,21.1,-0.55,4297.0,0.0,20886.0
2010-02-23,21.2,22.35,21.1,21.65,21.65,0.7,6081.0,0.0,21552.0
2010-02-22,21.25,21.75,20.9,20.95,20.95,-0.4,5802.0,0.0,20682.0
2010-02-19,22.2,22.29,21.3,21.35,21.35,-0.45,3100.0,0.0,18865.0
2010-02-18,23.0,23.05,21.8,21.8,21.8,-0.95,5335.0,0.0,19914.0
2010-02-17,23.5,23.5,22.7,22.75,22.75,-0.85,4513.0,0.0,21678.0
2010-02-16,24.25,24.3,23.5,23.55,23.6,-1.3,6352.0,0.0,20395.0
2010-02-12,25.8,25.85,24.7,24.9,24.9,-0.05,4897.0,0.0,19059.0
2010-02-11,25.6,26.05,24.6,24.9,24.95,-0.6,3185.0,0.0,17562.0
2010-02-10,25.65,26.35,25.2,25.5,25.55,-0.1,2638.0,0.0,17126.0
2010-02-09,25.7,26.25,24.95,25.65,25.65,-0.55,4181.0,0.0,17142.0
2010-02-08,25.25,26.35,25.25,26.15,26.2,0.35,3668.0,173.0,16768.0
2010-02-05,25.5,26.75,24.95,25.8,25.85,0.2,8425.0,799.0,17185.0
2010-02-04,24.23,25.7,23.95,25.6,25.65,2.1,3085.0,0.0,15219.0
2010-02-03,23.6,23.67,23.1,23.5,23.55,0.1,1756.0,0.0,15173.0
2010-02-02,24.05,24.1,23.3,23.35,23.45,-0.8,2047.0,0.0,14662.0
2010-02-01,24.95,24.95,24.05,24.2,24.25,-1.1,2406.0,0.0,13691.0
2010-01-29,24.45,25.5,24.2,25.25,25.35,0.45,2120.0,0.0,13415.0
2010-01-28,24.65,25.3,24.4,24.85,24.9,0.2,4917.0,0.0,13186.0
2010-01-27,25.3,25.7,24.65,24.65,24.7,-0.6,2661.0,0.0,12173.0
2010-01-26,25.3,25.3,24.4,25.25,25.3,0.35,4579.0,94.0,11749.0
2010-01-25,24.77,25.05,24.4,24.9,24.95,-0.2,1637.0,0.0,11132.0
2010-01-22,24.28,25.4,23.95,25.1,25.15,1.05,3004.0,0.0,11114.0
