Date,Open,High,Low,Last,Change,Settle,Volume,Prev. Day Open Interest
2015-03-31,120.859375,120.921875,120.859375,,0.25,120.8828125,501.0,869.0
2015-03-30,120.625,120.7421875,120.5703125,,0.015625,120.6328125,712.0,3384.0
2015-03-27,120.6171875,120.6484375,120.6171875,,0.265625,120.6484375,3765.0,3630.0
2015-03-26,120.7578125,120.7890625,120.3359375,,0.265625,120.3828125,3446.0,2864.0
2015-03-25,120.8828125,120.96875,120.6328125,,0.171875,120.6484375,2476.0,3289.0
2015-03-24,120.71875,120.8671875,120.6328125,,0.140625,120.8203125,943.0,3804.0
2015-03-23,120.6015625,120.7265625,120.5625,,0.078125,120.6796875,3651.0,4441.0
2015-03-20,120.4140625,120.6328125,120.3515625,,0.3203125,120.6015625,688.0,4872.0
2015-03-19,120.6640625,120.78125,120.2109375,,0.2734375,120.28125,2733.0,5779.0
2015-03-18,119.890625,120.78125,119.890625,,0.7109375,120.5546875,7911.0,5427.0
2015-03-17,119.8828125,120.015625,119.84375,,0.0390625,119.84375,2846.0,7143.0
2015-03-16,119.75,119.9375,119.7109375,,0.0703125,119.8046875,2058.0,8314.0
2015-03-13,119.6484375,119.8671875,119.5234375,,0.0078125,119.734375,1726.0,9553.0
2015-03-12,119.640625,119.96875,119.5703125,,0.1640625,119.7265625,1052.0,9848.0
2015-03-11,119.65625,119.6796875,119.40625,,0.0078125,119.5625,10642.0,12665.0
2015-03-10,119.359375,119.71875,119.3046875,,0.1953125,119.5703125,11425.0,17551.0
2015-03-09,119.125,119.3984375,119.1171875,,0.203125,119.375,9087.0,22190.0
2015-03-06,119.734375,120.046875,119.0859375,,0.5703125,119.171875,20030.0,29626.0
2015-03-05,119.6640625,119.796875,119.546875,,0.1484375,119.7421875,14882.0,35137.0
2015-03-04,119.5234375,119.671875,119.46875,,0.1171875,119.59375,25793.0,44440.0
2015-03-03,119.6640625,119.71875,119.4609375,,0.1796875,119.4765625,43425.0,61131.0
2015-03-02,119.9921875,120.0390625,119.625,,0.3359375,119.65625,55807.0,81983.0
2015-02-27,119.859375,120.046875,119.7421875,119.953125,0.125,119.9921875,258375.0,191642.0
2015-02-26,120.171875,120.34375,119.765625,119.90625,0.2890625,119.8671875,979660.0,571551.0
2015-02-25,120.1640625,120.25,120.0390625,120.125,0.0234375,120.15625,1358719.0,1113001.0
2015-02-24,119.7421875,120.2109375,119.4609375,120.09375,0.4453125,120.1796875,1646832.0,1605076.0
2015-02-23,119.515625,119.7734375,119.4296875,119.71875,0.3046875,119.734375,1135102.0,1900798.0
2015-02-20,119.5390625,119.921875,119.3828125,119.765625,0.1484375,119.4296875,775337.0,1937924.0
2015-02-19,119.8359375,119.9921875,119.5,119.5546875,0.2578125,119.578125,795489.0,1968703.0
2015-02-18,119.375,119.953125,119.1875,119.421875,0.5234375,119.8359375,957715.0,2007263.0
2015-02-17,119.71875,119.9140625,119.2109375,119.375,0.484375,119.3125,831024.0,1964554.0
2015-02-13,119.8984375,119.9140625,119.7109375,,0.078125,119.796875,502853.0,1963188.0
2015-02-12,119.6328125,119.953125,119.5078125,119.8828125,0.1328125,119.875,743011.0,1964390.0
2015-02-11,119.7578125,119.890625,119.5546875,,,119.7421875,528177.0,1953033.0
2015-02-10,119.765625,119.8671875,119.5859375,119.75,0.125,119.7421875,728306.0,1955209.0
2015-02-09,119.9453125,120.21875,119.7265625,119.859375,0.1015625,119.8671875,721067.0,1901806.0
2015-02-06,120.8046875,121.125,119.84375,120.09375,0.8515625,119.96875,1236241.0,1830098.0
2015-02-05,121.1171875,121.2109375,120.6796875,120.8203125,0.03125,120.8203125,570693.0,1832084.0
2015-02-04,120.8515625,121.1328125,120.6171875,120.8671875,0.046875,120.8515625,708051.0,1815574.0
2015-02-03,121.3671875,121.4453125,120.8203125,120.953125,0.453125,120.8984375,684263.0,1808580.0
2015-02-02,121.46875,121.5078125,121.1875,,0.0078125,121.3515625,632767.0,1839567.0
2015-01-30,120.9140625,121.4609375,120.8671875,121.359375,0.4609375,121.34375,857507.0,1835406.0
2015-01-29,121.0234375,121.078125,120.71875,120.8828125,0.1484375,120.8828125,656206.0,1843701.0
2015-01-28,120.5703125,121.140625,120.4921875,120.7578125,0.4609375,121.03125,807278.0,1820072.0
2015-01-27,120.5390625,120.890625,120.5,,0.09375,120.5703125,572799.0,1820309.0
2015-01-26,120.75,120.859375,120.4296875,120.546875,0.1484375,120.4765625,521334.0,1830393.0
2015-01-23,120.4375,120.8359375,120.3984375,,0.265625,120.625,566087.0,1839156.0
2015-01-22,120.515625,120.765625,120.2109375,,0.1875,120.359375,811388.0,1851651.0
2015-01-21,120.78125,120.8828125,120.46875,,0.203125,120.546875,910215.0,1835735.0
2015-01-20,120.796875,121.03125,120.6640625,120.9140625,0.046875,120.75,619670.0,1816623.0
2015-01-16,121.34375,121.4765625,120.7421875,120.828125,0.328125,120.796875,851260.0,1867935.0
2015-01-15,120.640625,121.4765625,120.390625,121.1171875,0.390625,121.125,924876.0,1842049.0
2015-01-14,120.3984375,121.0234375,120.375,120.765625,0.296875,120.734375,909581.0,1842066.0
2015-01-13,120.2890625,120.546875,120.15625,,0.171875,120.4375,772018.0,1832597.0
2015-01-12,120.1171875,120.3125,119.984375,,0.28125,120.265625,551740.0,1836861.0
2015-01-09,119.71875,120.1875,119.6171875,,0.28125,119.984375,857421.0,1824167.0
2015-01-08,119.734375,119.78125,119.5859375,119.6953125,0.09375,119.703125,582886.0,1841736.0
2015-01-07,119.75,119.8828125,119.546875,,0.1015625,119.796875,854801.0,1815691.0
2015-01-06,119.296875,120.109375,119.28125,119.53125,0.3828125,119.6953125,1030758.0,1842034.0
2015-01-05,119.0859375,119.34375,119.0,,0.21875,119.3125,471507.0,1841303.0
2015-01-02,118.8125,119.1875,118.671875,118.90625,0.1640625,119.09375,478686.0,1830914.0
2014-12-31,118.7890625,118.9375,118.75,118.9375,0.15625,118.9296875,205140.0,1829797.0
2014-12-30,118.64844,118.88281,118.64062,,0.125,118.77344,232158.0,1825254.0
2014-12-29,118.39062,118.6875,118.375,,0.225,118.64844,240253.0,1840172.0
2014-12-26,118.42969,118.47656,118.35938,,0.021875,118.42188,76764.0,1840226.0
2014-12-24,118.41406,118.53125,118.25781,,0.015625,118.39844,194750.0,1833336.0
2014-12-23,118.75,118.82031,118.34375,,0.334375,118.41406,394719.0,1843712.0
2014-12-22,118.8125,118.89062,118.67969,118.75,0.0375,118.75,312536.0,1846729.0
2014-12-19,118.75781,118.92969,118.6875,118.890625,0.021875,118.78906,457609.0,1838560.0
2014-12-18,118.95312,119.13281,118.64062,118.734375,0.19375,118.76562,766745.0,1843127.0
2014-12-17,119.46875,119.59375,118.92188,,0.46875,118.96094,1032961.0,1807989.0
2014-12-16,119.20312,119.9375,119.19531,,0.28125,119.42969,801311.0,1799889.0
2014-12-15,119.4375,119.57812,119.125,119.15625,0.25,119.14844,714678.0,1783413.0
2014-12-12,119.02344,119.60156,118.98438,,0.396875,119.39844,774096.0,1799543.0
2014-12-11,119.22656,119.34375,118.8125,118.990625,0.1875,119.0,845639.0,1782247.0
2014-12-10,118.92969,119.26562,118.83594,118.9375,0.303125,119.1875,555553.0,1781391.0
2014-12-09,118.69531,119.05469,118.625,118.875,0.209375,118.88281,759175.0,1815847.0
2014-12-08,118.55469,118.79688,118.32812,,0.09375,118.67188,604554.0,1806730.0
2014-12-05,119.1875,119.19531,118.51562,118.578125,0.5375,118.57812,965478.0,1769701.0
2014-12-04,119.03906,119.1875,118.94531,118.94375,0.1,119.11719,624346.0,1768019.0
2014-12-03,119.08594,119.13281,118.94531,118.96875,0.084375,119.01562,564299.0,1789275.0
2014-12-02,119.375,119.39844,119.07031,,0.334375,119.10156,651706.0,1797179.0
2014-12-01,119.55469,119.79688,119.32812,119.709375,0.053125,119.4375,760623.0,1804681.0
2014-11-28,119.25781,119.55469,119.25781,119.484375,0.203125,119.49219,425332.0,1729878.0
2014-11-26,119.14062,119.29688,119.10156,119.28125,0.140625,119.28906,806124.0,1349690.0
2014-11-25,118.97656,119.16406,118.88281,119.00625,0.178125,119.14844,1182612.0,820240.0
2014-11-24,118.91406,119.0,118.77344,,0.06875,118.96875,714762.0,336981.0
2014-11-21,118.77344,118.92188,118.6875,,0.09375,118.89844,231658.0,198106.0
2014-11-20,118.66406,118.96094,118.66406,,0.115625,118.80469,153293.0,122777.0
2014-11-19,118.83594,118.85156,118.5625,,0.125,118.6875,128289.0,61273.0
2014-11-18,118.72656,118.86719,118.72656,,0.109375,118.8125,23588.0,47743.0
2014-11-17,118.80469,119.00781,118.67969,,0.115625,118.70312,9713.0,44252.0
2014-11-14,118.71875,118.85156,118.47656,,0.115625,118.82031,10937.0,36771.0
2014-11-13,118.54688,118.71094,118.5,,0.1,118.70312,12166.0,31498.0
2014-11-12,118.55469,118.75781,118.55469,,0.115625,118.60156,4923.0,29040.0
2014-11-11,118.55469,118.60938,118.46094,,0.084375,118.48438,2024.0,28107.0
2014-11-10,118.875,119.03125,118.5625,,0.25,118.57031,10802.0,23400.0
2014-11-07,118.375,118.83594,118.27344,,0.38125,118.82031,6511.0,19887.0
2014-11-06,118.64062,118.67188,118.35156,,0.13125,118.4375,9853.0,15650.0
2014-11-05,118.52344,118.60156,118.4375,,0.00625,118.57031,159.0,15444.0
2014-11-04,118.59375,118.72656,118.53906,,0.00625,118.5625,3665.0,14278.0
2014-11-03,118.76562,118.78125,118.375,,0.109375,118.55469,742.0,14026.0
2014-10-31,118.67188,118.91406,118.57031,,0.171875,118.66406,2581.0,14101.0
2014-10-30,118.75,118.90625,118.60938,,0.15625,118.83594,1877.0,14027.0
2014-10-29,119.1875,119.1875,118.57031,,0.50625,118.67969,1233.0,13849.0
2014-10-28,119.17969,119.30469,119.10938,,0.084375,119.1875,879.0,13808.0
2014-10-27,119.10156,119.32031,119.07031,,0.084375,119.27344,72.0,13784.0
2014-10-24,119.39844,119.40625,119.16406,,0.021875,119.1875,3977.0,10582.0
